,Datetime,SMA,loss,threshold,anomaly
1862,2019-08-14 05:02:14.248032,1.8287201076600168,0.19533224653609177,0.1,True
1863,2019-08-14 13:01:13.452384,1.828433156662885,0.19510644616289272,0.1,True
1864,2019-08-14 20:55:09.522336,1.828187198750357,0.19488352943417697,0.1,True
1865,2019-08-15 04:40:38.641152,1.8276870845815774,0.19466981829945998,0.1,True
1866,2019-08-15 09:17:17.454048,1.8275149142078964,0.19449453897765814,0.1,True
1867,2019-08-15 17:21:08.832960,1.8271623749915933,0.19429778033607506,0.1,True
1868,2019-08-15 20:31:45.944832,1.8272279636717137,0.1941165870205676,0.1,True
1869,2019-08-16 05:51:39.290400,1.826588474298104,0.19388868474587248,0.1,True
1870,2019-08-16 12:22:46.839360,1.8263999070242303,0.19373813903026552,0.1,True
1871,2019-08-16 21:48:16.401888,1.826432701328957,0.1935695912529392,0.1,True
1872,2019-08-17 05:32:27.805632,1.8261293540614392,0.193361234123663,0.1,True
1873,2019-08-17 13:31:08.111712,1.8258260069141798,0.19317904468417985,0.1,True
1874,2019-08-17 21:27:13.773024,1.8260883611950365,0.19302369421610993,0.1,True
1875,2019-08-18 21:08:48.295392,1.8253996814047577,0.19279226782413403,0.1,True
1876,2019-08-19 12:49:53.340096,1.8245634282211454,0.19266161473810564,0.1,True
1877,2019-08-19 20:40:55.179264,1.824243684604392,0.19259920548679912,0.1,True
1878,2019-08-20 04:27:53.945856,1.8238091614437857,0.19253040352615958,0.1,True
1879,2019-08-20 12:23:48.835680,1.8235714035952952,0.1924670667846497,0.1,True
1880,2019-08-20 21:55:25.593024,1.8234566239723446,0.19237103678621506,0.1,True
1881,2019-08-21 05:38:57.240672,1.8229565129605327,0.19224721719236257,0.1,True
1882,2019-08-21 12:25:26.999904,1.8227515495256212,0.1921604890547042,0.1,True
1883,2019-08-21 21:33:50.726592,1.8227515495256212,0.19204714553003274,0.1,True
1884,2019-08-22 13:18:23.029344,1.822144858090772,0.19190136387208578,0.1,True
1885,2019-08-22 21:16:03.448992,1.822071071328769,0.19181351813799843,0.1,True
1886,2019-08-23 09:36:20.178720,1.8215791597620983,0.19168427749754036,0.1,True
1887,2019-08-23 12:57:17.199360,1.8214561819208896,0.19158627871325182,0.1,True
1888,2019-08-23 20:51:22.250592,1.8212676159393593,0.19145181345487927,0.1,True
1889,2019-08-24 04:36:42.949728,1.82064452867846,0.19129353910188515,0.1,True
1890,2019-08-24 12:37:27.868800,1.820373977793039,0.19119029071478916,0.1,True
1891,2019-08-24 20:28:21.419616,1.8203493822602548,0.19107526087312898,0.1,True
1892,2019-08-25 05:47:29.703264,1.8198574718250045,0.19090453348527026,0.1,True
1893,2019-08-25 12:10:59.942208,1.8197098987589722,0.19077265551510456,0.1,True
1894,2019-08-25 21:45:04.432320,1.8198164793049953,0.1906155933380869,0.1,True
1895,2019-08-26 05:28:30.572832,1.8194803407101992,0.19040620347624446,0.1,True
1896,2019-08-26 13:28:37.344576,1.8192425842356297,0.1902350620214946,0.1,True
1897,2019-08-26 21:24:01.969344,1.8194393482090347,0.19006714249148435,0.1,True
1898,2019-08-27 05:06:51.997248,1.819168797759767,0.18984640088472282,0.1,True
1899,2019-08-27 13:06:58.379328,1.818840857950551,0.18964712990658086,0.1,True
1900,2019-08-27 21:05:14.936640,1.8186604911143838,0.1894906966561774,0.1,True
1901,2019-08-28 04:45:31.224384,1.8181439863293445,0.1893317234144641,0.1,True
1902,2019-08-28 12:42:28.077696,1.8177586575960851,0.18921158118921663,0.1,True
1903,2019-08-28 20:36:58.091616,1.8175372986239917,0.18910470016145914,0.1,True
1904,2019-08-29 05:56:21.655968,1.8167010542137845,0.18898301241273793,0.1,True
1905,2019-08-29 09:02:00.074400,1.8165862756431563,0.18891937675176623,0.1,True
1906,2019-08-29 17:01:14.576736,1.8162419400324377,0.18881336708532723,0.1,True
1907,2019-08-29 21:53:37.538592,1.8162993292917164,0.18872163671960704,0.1,True
1908,2019-08-30 05:34:52.028832,1.8157582307544604,0.18856980746684443,0.1,True
1909,2019-08-30 11:58:08.823936,1.8154958800885452,0.18846874540113215,0.1,True
1910,2019-08-30 21:31:42.383712,1.8154876816302663,0.18835540358847022,0.1,True
1911,2019-08-31 05:15:42.285024,1.8149957743874412,0.18819404056899466,0.1,True
1912,2019-08-31 11:26:49.179840,1.8147662177835042,0.18808196589470566,0.1,True
1913,2019-08-31 21:12:30.581856,1.8145940503761133,0.18795687633779476,0.1,True
1914,2019-09-01 04:54:18.470016,1.8138971827053316,0.18780821813123036,0.1,True
1915,2019-09-01 11:04:54.253920,1.8136020389481835,0.18773587988504495,0.1,True
1916,2019-09-01 20:47:00.688416,1.8129871564895013,0.1876403996306331,0.1,True
1917,2019-09-02 04:32:44.284416,1.8117655915027744,0.187586330479595,0.1,True
1918,2019-09-02 12:36:05.361120,1.8109539487513364,0.18763214036721834,0.1,True
1919,2019-09-02 20:31:31.844352,1.8104784412849864,0.18767914732759924,0.1,True
1920,2019-09-03 05:43:36.070752,1.809199491670787,0.18768724035869733,0.1,True
1921,2019-09-03 13:52:43.778208,1.8084206452168927,0.18777049460190823,0.1,True
1922,2019-09-03 21:32:44.791296,1.8076827914275657,0.18781434574307548,0.1,True
1923,2019-09-04 05:23:27.233664,1.806641598983203,0.18783287237117482,0.1,True
1924,2019-09-04 13:24:12.195072,1.8057807716789924,0.18786163421880828,0.1,True
1925,2019-09-04 21:20:04.935264,1.8054036476443047,0.187853269504515,0.1,True
1926,2019-09-05 05:02:49.235712,1.804559218434688,0.1877553078400525,0.1,True
